question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many hairdryers does David have in total?,How many hairdryers does Amelia have in total now?,Amelia has 6 hairdryers. William has 2 fewer hairdryers than Amelia. William has 2 more hairdryers than Lily. Jonathan has 4 more hairdryers than Lily. Grace has 12 more hairdryers than Jonathan. Grace has 6 more hairdryers than David.,Amelia has 6 hairdryers. Amelia gave 2 hairdryers to William. Amelia gave 2 hairdryers to Lily. Jonathan gave 4 hairdryers to Amelia. Grace gave 12 hairdryers to Amelia. Amelia gave David 6 hairdryers.,Amelia has 6 hairdryers. William has 2 fewer hairdryers than Amelia. William has 2 more hairdryers than Lily. Jonathan has 4 more hairdryers than Lily. Grace has 12 more hairdryers than Jonathan. Grace has 6 more hairdryers than David. How many hairdryers does David have in total?,Amelia has 6 hairdryers. Amelia gave 2 hairdryers to William. Amelia gave 2 hairdryers to Lily. Jonathan gave 4 hairdryers to Amelia. Grace gave 12 hairdryers to Amelia. Amelia gave David 6 hairdryers. How many hairdryers does Amelia have in total now?,12
What is the number of yellow trash cans that James has?,What is the number of yellow trash cans that Sofia has now?,Sofia has 10 yellow trash cans. Sofia has 4 fewer yellow trash cans than Mia. John has 19 more yellow trash cans than Mia. John has 11 fewer yellow trash cans than Joseph. Avery has 17 more yellow trash cans than Joseph. Avery has 5 more yellow trash cans than James.,Sofia has 10 yellow trash cans. Mia gave Sofia 4 yellow trash cans. John gave Sofia 19 yellow trash cans. Joseph gave Sofia 11 yellow trash cans. Avery gave Sofia 17 yellow trash cans. Sofia gave James 5 yellow trash cans.,Sofia has 10 yellow trash cans. Sofia has 4 fewer yellow trash cans than Mia. John has 19 more yellow trash cans than Mia. John has 11 fewer yellow trash cans than Joseph. Avery has 17 more yellow trash cans than Joseph. Avery has 5 more yellow trash cans than James. What is the number of yellow trash cans that James has?,Sofia has 10 yellow trash cans. Mia gave Sofia 4 yellow trash cans. John gave Sofia 19 yellow trash cans. Joseph gave Sofia 11 yellow trash cans. Avery gave Sofia 17 yellow trash cans. Sofia gave James 5 yellow trash cans. What is the number of yellow trash cans that Sofia has now?,56
What is the number of green televisions that Harper has?,What is the number of green televisions that Daniel has now?,Daniel has 3 green televisions. Daniel has 14 fewer green televisions than Grace. Natalie has 6 fewer green televisions than Grace. Natalie has 20 fewer green televisions than Sofia. Harper has 14 more green televisions than Sofia.,Daniel has 3 green televisions. Grace gave Daniel 14 green televisions. Daniel gave Natalie 6 green televisions. Sofia gave Daniel 20 green televisions. Harper gave Daniel 14 green televisions.,Daniel has 3 green televisions. Daniel has 14 fewer green televisions than Grace. Natalie has 6 fewer green televisions than Grace. Natalie has 20 fewer green televisions than Sofia. Harper has 14 more green televisions than Sofia. What is the number of green televisions that Harper has?,Daniel has 3 green televisions. Grace gave Daniel 14 green televisions. Daniel gave Natalie 6 green televisions. Sofia gave Daniel 20 green televisions. Harper gave Daniel 14 green televisions. What is the number of green televisions that Daniel has now?,45
How many gallons of oil does Emma have?,How many gallons of oil does Jonathan have now?,Jonathan has 10 gallons of oil. Ava has 17 gallons of oil more than Jonathan. Emma has 10 gallons of oil more than Ava.,Jonathan has 10 gallons of oil. Ava gave Jonathan 17 gallons of oil. Emma gave Jonathan 10 gallons of oil.,Jonathan has 10 gallons of oil. Ava has 17 gallons more oil than Jonathan. Emma has 10 gallons more oil than Ava. How many gallons of oil does Emma have?,Jonathan has 10 gallons of oil. Ava gave Jonathan 17 gallons of oil. Emma gave Jonathan 10 gallons of oil. How many gallons of oil does Jonathan have now?,37
How many kilowatt-hours of emergency energy reserve does Emily have?,How many kilowatt-hours of emergency energy reserve does Amelia have now?,Amelia has 20 kilowatt-hours of emergency energy reserve. Amelia has 3 kilowatt-hours of emergency energy reserve less than Emily.,Amelia has 20 kilowatt-hours of emergency energy reserve. Emily gave Amelia 3 kilowatt-hours of emergency energy reserve.,Amelia has 20 kilowatt-hours of emergency energy reserve. Amelia has 3 kilowatt-hours less of emergency energy reserve than Emily. How many kilowatt-hours of emergency energy reserve does Emily have?,Amelia has 20 kilowatt-hours of emergency energy reserve. Emily gave Amelia 3 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Amelia have now?,23
How many liters of milk does Chloe have?,How many liters of milk does Nathan have now?,Nathan has 13 liters of milk. Harper has 7 liters of milk less than Nathan. Chloe has 14 liters of milk more than Harper.,Nathan has 13 liters of milk. Nathan gave Harper 7 liters of milk. Chloe gave Nathan 14 liters of milk.,Nathan has 13 liters of milk. Harper has 7 liters less milk than Nathan. Chloe has 14 liters more milk than Harper. How many liters of milk does Chloe have?,Nathan has 13 liters of milk. Nathan gave Harper 7 liters of milk. Chloe gave Nathan 14 liters of milk. How many liters of milk does Nathan have now?,20
How many meters of rope does Harper have?,How many meters of rope does Sofia have now?,Sofia has 8 meters of rope. Jackson has 16 meters of rope more than Sofia. Jackson has 14 meters of rope less than Elijah. Grace has 12 meters of rope less than Elijah. Harper has 16 meters of rope less than Grace.,Sofia has 8 meters of rope. Jackson gave Sofia 16 meters of rope. Elijah gave Sofia 14 meters of rope. Sofia gave Grace 12 meters of rope. Sofia gave Harper 16 meters of rope.,Sofia has 8 meters of rope. Jackson has 16 meters more rope than Sofia. Jackson has 14 meters less rope than Elijah. Grace has 12 meters less rope than Elijah. Harper has 16 meters less rope than Grace. How many meters of rope does Harper have?,Sofia has 8 meters of rope. Jackson gave Sofia 16 meters of rope. Elijah gave Sofia 14 meters of rope. Sofia gave Grace 12 meters of rope. Sofia gave Harper 16 meters of rope. How many meters of rope does Sofia have now?,10
How many vases does Christian have in their collection?,How many vases does Jonathan have now?,Jonathan has 18 vases. Ryan has 16 fewer vases than Jonathan. Ryan has 2 more vases than Layla. Layla has 6 fewer vases than Harper. Christian has 2 more vases than Harper.,Jonathan has 18 vases. Jonathan gave Ryan 16 vases. Jonathan gave Layla 2 vases. Harper gave Jonathan 6 vases. Christian gave 2 vases to Jonathan.,Jonathan has 18 vases. Ryan has 16 fewer vases than Jonathan. Ryan has 2 more vases than Layla. Layla has 6 fewer vases than Harper. Christian has 2 more vases than Harper. How many vases does Christian have in their collection?,Jonathan has 18 vases. Jonathan gave Ryan 16 vases. Jonathan gave Layla 2 vases. Harper gave Jonathan 6 vases. Christian gave 2 vases to Jonathan. How many vases does Jonathan have now?,8
What is the number of red sofas that Sofia has?,What is the number of red sofas that Mila has now?,Mila has 20 red sofas. Mila has 3 more red sofas than Grace. Jackson has 2 fewer red sofas than Grace. Jackson has 3 more red sofas than Ryan. Ryan has 4 more red sofas than Victoria. Sofia has 3 fewer red sofas than Victoria.,Mila has 20 red sofas. Mila gave Grace 3 red sofas. Mila gave Jackson 2 red sofas. Mila gave Ryan 3 red sofas. Mila gave Victoria 4 red sofas. Mila gave Sofia 3 red sofas.,Mila has 20 red sofas. Mila has 3 more red sofas than Grace. Jackson has 2 fewer red sofas than Grace. Jackson has 3 more red sofas than Ryan. Ryan has 4 more red sofas than Victoria. Sofia has 3 fewer red sofas than Victoria. What is the number of red sofas that Sofia has?,Mila has 20 red sofas. Mila gave Grace 3 red sofas. Mila gave Jackson 2 red sofas. Mila gave Ryan 3 red sofas. Mila gave Victoria 4 red sofas. Mila gave Sofia 3 red sofas. What is the number of red sofas that Mila has now?,5
What is the number of blue televisions that Victoria has?,What is the number of blue televisions that Nathan has now?,Nathan has 20 blue televisions. Victoria has 7 fewer blue televisions than Nathan.,Nathan has 20 blue televisions. Nathan gave Victoria 7 blue televisions.,Nathan has 20 blue televisions. Victoria has 7 fewer blue televisions than Nathan. What is the number of blue televisions that Victoria has?,Nathan has 20 blue televisions. Nathan gave Victoria 7 blue televisions. What is the number of blue televisions that Nathan has now?,13
How many kilowatt-hours of emergency energy reserve does Evelyn have?,How many kilowatt-hours of emergency energy reserve does Joseph have now?,Joseph has 4 kilowatt-hours of emergency energy reserve. Isabella has 4 kilowatt-hours of emergency energy reserve more than Joseph. Isabella has 6 kilowatt-hours of emergency energy reserve less than Nathan. Sofia has 3 kilowatt-hours of emergency energy reserve less than Nathan. Sofia has 17 kilowatt-hours of emergency energy reserve less than Evelyn.,Joseph has 4 kilowatt-hours of emergency energy reserve. Isabella gave Joseph 4 kilowatt-hours of emergency energy reserve. Nathan gave Joseph 6 kilowatt-hours of emergency energy reserve. Joseph gave Sofia 3 kilowatt-hours of emergency energy reserve. Evelyn gave Joseph 17 kilowatt-hours of emergency energy reserve.,Joseph has 4 kilowatt-hours of emergency energy reserve. Isabella has 4 kilowatt-hours more emergency energy reserve than Joseph. Isabella has 6 kilowatt-hours less emergency energy reserve than Nathan. Sofia has 3 kilowatt-hours less emergency energy reserve than Nathan. Sofia has 17 kilowatt-hours less emergency energy reserve than Evelyn. How many kilowatt-hours of emergency energy reserve does Evelyn have?,"Joseph has 4 kilowatt-hours of emergency energy reserve. Isabella gave Joseph an additional 4 kilowatt-hours of emergency energy reserve. Nathan gave Joseph 6 kilowatt-hours of emergency energy reserve. Joseph then gave Sofia 3 kilowatt-hours of emergency energy reserve. Finally, Evelyn gave Joseph 17 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Joseph have now?",28
How many acres of farmland does Hannah have?,How many acres of farmland does Ryan have now?,Ryan has 18 acres of farmland. Ryan has 4 acres of farmland more than Mia. Nathan has 8 acres of farmland less than Mia. Nathan has 5 acres of farmland more than Hannah.,Ryan has 18 acres of farmland. Ryan gave Mia 4 acres of farmland. Ryan gave Nathan 8 acres of farmland. Ryan gave Hannah 5 acres of farmland.,Ryan has 18 acres of farmland. Ryan has 4 more acres of farmland than Mia. Nathan has 8 fewer acres of farmland than Mia. Nathan has 5 more acres of farmland than Hannah. How many acres of farmland does Hannah have?,Ryan has 18 acres of farmland. Ryan gave Mia 4 acres of farmland. Ryan gave Nathan 8 acres of farmland. Ryan gave Hannah 5 acres of farmland. How many acres of farmland does Ryan have now?,1
What is the number of blue mirrors that Nathan has?,What is the number of blue mirrors that Elijah has now?,Elijah has 17 blue mirrors. Elijah has 18 fewer blue mirrors than Sofia. Chloe has 18 more blue mirrors than Sofia. Chloe has 16 more blue mirrors than Avery. Nathan has 11 fewer blue mirrors than Avery.,Elijah has 17 blue mirrors. Sofia gave Elijah 18 blue mirrors. Chloe gave Elijah 18 blue mirrors. Elijah gave Avery 16 blue mirrors. Elijah gave Nathan 11 blue mirrors.,Elijah has 17 blue mirrors. Elijah has 18 fewer blue mirrors than Sofia. Chloe has 18 more blue mirrors than Sofia. Chloe has 16 more blue mirrors than Avery. Nathan has 11 fewer blue mirrors than Avery. What is the number of blue mirrors that Nathan has?,"Elijah has 17 blue mirrors. Sofia gave Elijah 18 blue mirrors. Chloe also gave Elijah 18 blue mirrors. Elijah then gave Avery 16 blue mirrors. Finally, Elijah gave Nathan 11 blue mirrors. What is the total number of blue mirrors that Elijah has now?",26
What is the number of blue microwaves that Daniel has?,What is the number of blue microwaves that Michael has now?,Michael has 17 blue microwaves. Lucy has 4 more blue microwaves than Michael. Olivia has 10 fewer blue microwaves than Lucy. Olivia has 13 fewer blue microwaves than Abigail. Abigail has 19 fewer blue microwaves than Sophia. Daniel has 8 more blue microwaves than Sophia.,Michael has 17 blue microwaves. Lucy gave Michael 4 blue microwaves. Michael gave Olivia 10 blue microwaves. Abigail gave Michael 13 blue microwaves. Sophia gave Michael 19 blue microwaves. Daniel gave Michael 8 blue microwaves.,Michael has 17 blue microwaves. Lucy has 4 more blue microwaves than Michael. Olivia has 10 fewer blue microwaves than Lucy. Olivia has 13 fewer blue microwaves than Abigail. Abigail has 19 fewer blue microwaves than Sophia. Daniel has 8 more blue microwaves than Sophia. What is the number of blue microwaves that Daniel has?,Michael has 17 blue microwaves. Lucy gave Michael 4 blue microwaves. Michael gave Olivia 10 blue microwaves. Abigail gave Michael 13 blue microwaves. Sophia gave Michael 19 blue microwaves. Daniel gave Michael 8 blue microwaves. What is the number of blue microwaves that Michael has now?,51
What is the number of orange rolls of toilet papers that Jonathan has?,What is the number of orange rolls of toilet papers that Nathan has now?,Nathan has 15 orange rolls of toilet papers. Nathan has 2 fewer orange rolls of toilet papers than Hannah. Hannah has 16 more orange rolls of toilet papers than Jonathan.,Nathan has 15 orange rolls of toilet papers. Hannah gave Nathan 2 orange rolls of toilet papers. Nathan gave Jonathan 16 orange rolls of toilet papers.,Nathan has 15 orange rolls of toilet paper. Nathan has 2 fewer orange rolls of toilet paper than Hannah. Hannah has 16 more orange rolls of toilet paper than Jonathan. What is the number of orange rolls of toilet paper that Jonathan has?,Nathan has 15 orange rolls of toilet paper. Hannah gave Nathan 2 orange rolls of toilet paper. Nathan gave Jonathan 16 orange rolls of toilet paper. What is the number of orange rolls of toilet paper that Nathan has now?,1
